# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 209         4.518       52.465      0.00        IJmond      
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  209,20010130,     ,     ,     ,     
  209,20010131,     ,     ,     ,     
  209,20010201,   24,     ,     ,     
  209,20010202,   58,     ,     ,     
  209,20010203,   66,     ,     ,     
  209,20010204,   75,     ,     ,     
  209,20010205,  112,     ,     ,     
  209,20010206,  127,     ,     ,     
  209,20010207,   95,     ,     ,     
  209,20010208,   99,     ,     ,     
  209,20010209,   48,     ,     ,     
  209,20010210,   72,     ,     ,     
  209,20010211,  133,     ,     ,     
  209,20010212,   95,     ,     ,     
  209,20010213,   59,     ,     ,     
  209,20010214,   26,     ,     ,     
  209,20010215,   21,     ,     ,     
  209,20010216,   62,     ,     ,     
  209,20010217,   71,     ,     ,     
  209,20010218,   40,     ,     ,     
  209,20010219,   83,     ,     ,     
  209,20010220,   70,     ,     ,     
  209,20010221,   68,     ,     ,     
  209,20010222,   91,     ,     ,     
  209,20010223,   71,     ,     ,     
  209,20010224,   76,     ,     ,     
  209,20010225,   91,     ,     ,     
  209,20010226,   76,     ,     ,     
  209,20010227,   86,     ,     ,     
  209,20010228,   49,     ,     ,     
  209,20010301,   57,     ,     ,     
  209,20010302,   74,     ,     ,     
  209,20010303,   75,     ,     ,     
  209,20010304,   66,     ,     ,     
  209,20010305,   41,     ,     ,     
  209,20010306,   71,     ,     ,     
  209,20010307,   78,     ,     ,     
  209,20010308,   70,     ,     ,     
  209,20010309,   93,     ,     ,     
  209,20010310,   83,     ,     ,     
  209,20010311,   85,     ,     ,     
  209,20010312,   88,     ,     ,     
  209,20010313,  103,     ,     ,     
  209,20010314,   85,     ,     ,     
  209,20010315,   30,     ,     ,     
  209,20010316,   65,     ,     ,     
  209,20010317,  109,     ,     ,     
  209,20010318,   71,     ,     ,     
  209,20010319,   98,     ,     ,     
  209,20010320,   48,     ,     ,     
  209,20010321,   93,     ,     ,     
  209,20010322,   40,     ,     ,     
  209,20010323,   61,     ,     ,     
  209,20010324,   60,     ,     ,     
  209,20010325,   97,     ,     ,     
  209,20010326,   60,     ,     ,     
  209,20010327,   90,     ,     ,     
  209,20010328,   93,     ,     ,     
  209,20010329,   42,     ,     ,     
  209,20010330,   50,     ,     ,     
  209,20010331,   95,     ,     ,     
  209,20010401,   60,     ,     ,     
  209,20010402,   61,     ,     ,     
  209,20010403,   73,     ,     ,     
  209,20010404,  113,     ,     ,     
  209,20010405,  116,     ,     ,     
  209,20010406,  106,     ,     ,     
  209,20010407,   76,     ,     ,     
  209,20010408,   63,     ,     ,     
  209,20010409,   53,     ,     ,     
  209,20010410,   67,     ,     ,     
  209,20010411,   97,     ,     ,     
  209,20010412,   85,     ,     ,     
  209,20010413,   88,     ,     ,     
  209,20010414,   82,     ,     ,     
  209,20010415,  103,     ,     ,     
  209,20010416,  101,     ,     ,     
  209,20010417,   88,     ,     ,     
  209,20010418,  111,     ,     ,     
  209,20010419,   92,     ,     ,     
  209,20010420,   43,     ,     ,     
  209,20010421,   62,     ,     ,     
  209,20010422,   30,     ,     ,     
  209,20010423,   31,     ,     ,     
  209,20010424,   65,     ,     ,     
  209,20010425,   51,     ,     ,     
  209,20010426,   88,     ,     ,     
  209,20010427,   49,     ,     ,     
  209,20010428,   93,     ,     ,     
  209,20010429,   49,     ,     ,     
  209,20010430,   62,     ,     ,     
  209,20010501,  102,     ,     ,     
  209,20010502,   81,     ,     ,     
  209,20010503,   72,     ,     ,     
  209,20010504,   90,     ,     ,     
  209,20010505,   96,     ,     ,     
  209,20010506,   94,     ,     ,     
  209,20010507,   73,     ,     ,     
  209,20010508,   70,     ,     ,     
  209,20010509,   63,     ,     ,     
  209,20010510,   69,     ,     ,     
  209,20010511,   53,     ,     ,     
  209,20010512,   59,     ,     ,     
  209,20010513,   54,     ,     ,     
  209,20010514,   46,     ,     ,     
  209,20010515,   52,     ,     ,     
  209,20010516,   93,     ,     ,     
  209,20010517,  129,     ,     ,     
  209,20010518,   81,     ,     ,     
  209,20010519,   56,     ,     ,     
  209,20010520,   41,     ,     ,     
  209,20010521,   62,     ,     ,     
  209,20010522,   63,     ,     ,     
  209,20010523,   61,     ,     ,     
  209,20010524,   69,     ,     ,     
  209,20010525,   55,     ,     ,     
  209,20010526,   36,     ,     ,     
  209,20010527,   83,     ,     ,     
  209,20010528,   96,     ,     ,     
  209,20010529,   81,     ,     ,     
  209,20010530,   30,     ,     ,     
  209,20010531,   78,     ,     ,     
  209,20010601,   73,     ,     ,     
  209,20010602,  124,     ,     ,     
  209,20010603,  130,     ,     ,     
  209,20010604,   70,     ,     ,     
  209,20010605,   48,     ,     ,     
  209,20010606,   83,     ,     ,     
  209,20010607,  110,     ,     ,     
  209,20010608,   62,     ,     ,     
  209,20010609,   28,     ,     ,     
  209,20010610,   33,     ,     ,     
  209,20010611,   70,     ,     ,     
  209,20010612,   45,     ,     ,     
  209,20010613,   35,     ,     ,     
  209,20010614,   49,     ,     ,     
  209,20010615,   45,     ,     ,     
  209,20010616,   41,     ,     ,     
  209,20010617,   63,     ,     ,     
  209,20010618,   91,     ,     ,     
  209,20010619,   38,     ,     ,     
  209,20010620,   57,     ,     ,     
  209,20010621,   63,     ,     ,     
  209,20010622,   81,     ,     ,     
  209,20010623,   42,     ,     ,     
  209,20010624,   43,     ,     ,     
  209,20010625,   45,     ,     ,     
  209,20010626,   71,     ,     ,     
  209,20010627,   85,     ,     ,     
  209,20010628,   80,     ,     ,     
  209,20010629,   64,     ,     ,     
  209,20010630,   56,     ,     ,     
