# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 248         5.174       52.634      0.80        Wijdenes    
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  248,19940715,     ,     ,     ,     
  248,19940716,     ,     ,     ,     
  248,19940717,     ,     ,     ,     
  248,19940718,     ,     ,     ,     
  248,19940719,     ,     ,     ,     
  248,19940720,     ,     ,     ,     
  248,19940721,     ,     ,     ,     
  248,19940722,     ,     ,     ,     
  248,19940723,     ,     ,     ,     
  248,19940724,     ,     ,     ,     
  248,19940725,     ,     ,     ,     
  248,19940726,     ,     ,     ,     
  248,19940727,     ,     ,     ,     
  248,19940728,     ,     ,     ,     
  248,19940729,     ,     ,     ,     
  248,19940730,     ,     ,     ,     
  248,19940731,     ,     ,     ,     
  248,19940801,     ,     ,     ,     
  248,19940802,     ,     ,     ,     
  248,19940803,     ,     ,     ,     
  248,19940804,     ,     ,     ,     
  248,19940805,     ,     ,     ,     
  248,19940806,     ,     ,     ,     
  248,19940807,     ,     ,     ,     
  248,19940808,     ,     ,     ,     
  248,19940809,     ,     ,     ,     
  248,19940810,     ,     ,     ,     
  248,19940811,   36,     ,     ,     
  248,19940812,   77,     ,     ,     
  248,19940813,   57,     ,     ,     
  248,19940814,   46,     ,     ,     
  248,19940815,   31,     ,     ,     
  248,19940816,   46,     ,     ,     
  248,19940817,   72,     ,     ,     
  248,19940818,   57,     ,     ,     
  248,19940819,   46,     ,     ,     
  248,19940820,   26,     ,     ,     
  248,19940821,   36,     ,     ,     
  248,19940822,   62,     ,     ,     
  248,19940823,   51,     ,     ,     
  248,19940824,   41,     ,     ,     
  248,19940825,   51,     ,     ,     
