# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 391         6.197       51.498      19.50       Arcen       
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  391,19900701,     ,     ,     ,     
  391,19900702,     ,     ,     ,     
  391,19900703,     ,     ,     ,     
  391,19900704,   41,  195,     ,   69
  391,19900705,   57,  188,     ,   86
  391,19900706,   46,  161,     ,   85
  391,19900707,   41,  158,     ,   93
  391,19900708,   46,  217,     ,   91
  391,19900709,   51,  185,     ,   74
  391,19900710,   46,  181,     ,   85
  391,19900711,   26,  230,     ,   76
  391,19900712,   21,  269,     ,   75
  391,19900713,   41,  231,     ,   72
  391,19900714,   36,  229,     ,   65
  391,19900715,   15,  270,     ,   64
  391,19900716,   21,  282,     ,   67
  391,19900717,   36,  233,     ,   70
  391,19900718,   26,  219,     ,   76
  391,19900719,   26,  261,     ,   72
  391,19900720,   10,  285,     ,   72
  391,19900721,   26,  292,     ,   65
  391,19900722,   36,  241,     ,   67
  391,19900723,   26,  214,     ,   70
  391,19900724,   21,  188,     ,   74
  391,19900725,   26,  209,     ,   65
  391,19900726,   36,  271,     ,   66
  391,19900727,   36,  304,     ,   51
  391,19900728,   15,  302,     ,   69
  391,19900729,   15,  265,     ,   82
  391,19900730,   10,  292,     ,   69
  391,19900731,   15,  316,     ,   67
  391,19900801,   21,  318,     ,   69
  391,19900802,   26,  330,     ,   51
  391,19900803,   21,  346,     ,   49
  391,19900804,   15,  363,     ,   50
  391,19900805,   31,  270,     ,   75
  391,19900806,   21,  198,     ,   89
  391,19900807,   21,  228,     ,   77
  391,19900808,   15,  219,     ,   72
  391,19900809,   21,  263,     ,   72
