# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 215         4.437       52.141      -1.10       Voorschoten 
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  215,20140715,     ,     ,     ,     
  215,20140716,   17,  246,    0,   84
  215,20140717,   30,  254,    0,   75
  215,20140718,   36,  309,    0,   66
  215,20140719,   41,  336,   -1,   65
  215,20140720,   25,  235,   50,   91
  215,20140721,   54,  199,   16,   96
  215,20140722,   49,  269,   10,   75
  215,20140723,   54,  282,    0,   66
  215,20140724,   53,  267,    0,   63
  215,20140725,   29,  229,    0,   80
  215,20140726,   33,  247,    0,   90
  215,20140727,   34,  235,    0,   90
  215,20140728,   45,  239,  251,   89
  215,20140729,   49,  235,    0,   90
  215,20140730,   34,  209,    0,   86
  215,20140731,   32,  243,    0,   80
  215,20140801,   21,  243,    0,   84
  215,20140802,   30,  267,    0,   82
  215,20140803,   31,  232,  133,   80
  215,20140804,   27,  213,   17,   84
  215,20140805,   23,  226,    0,   80
  215,20140806,   36,  203,   44,   85
  215,20140807,   26,  232,    0,   85
  215,20140808,   40,  220,    7,   90
  215,20140809,   58,  217,   28,   78
  215,20140810,   57,  210,   63,   82
  215,20140811,   81,  203,   22,   71
  215,20140812,   67,  197,   69,   74
  215,20140813,   52,  202,   42,   80
  215,20140814,   39,  195,   73,   82
  215,20140815,   42,  191,   44,   83
  215,20140816,   56,  180,    2,   74
  215,20140817,   68,  183,  111,   74
  215,20140818,   69,  172,   42,   80
  215,20140819,   52,  157,   65,   81
  215,20140820,   31,  174,   31,   80
  215,20140821,   41,  177,   64,   80
  215,20140822,   47,  171,   42,   88
  215,20140823,   39,  167,   47,   82
