# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 225         4.555       52.463      4.40        IJmuiden    
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  225,19710101,   62,   45,     ,     
  225,19710102,   62,   55,     ,     
  225,19710103,   46,   45,     ,     
  225,19710104,   46,  -25,     ,     
  225,19710105,   57,  -35,     ,     
  225,19710106,   62,  -25,     ,     
  225,19710107,  113,   85,     ,     
  225,19710108,   87,   65,     ,     
  225,19710109,   72,   65,     ,     
  225,19710110,   46,   85,     ,     
  225,19710111,   77,   75,     ,     
  225,19710112,   57,   45,     ,     
  225,19710113,   46,   45,     ,     
  225,19710114,   51,   35,     ,     
  225,19710115,   51,     ,     ,     
  225,19710116,   82,   55,     ,     
  225,19710117,   62,   55,     ,     
  225,19710118,   77,   55,     ,     
  225,19710119,  129,   75,     ,     
  225,19710120,  108,   65,     ,     
  225,19710121,  108,   65,     ,     
  225,19710122,   72,   65,     ,     
  225,19710123,  144,  125,     ,     
  225,19710124,  159,   85,     ,     
  225,19710125,  134,   85,     ,     
  225,19710126,  118,   75,     ,     
  225,19710127,   77,   75,     ,     
  225,19710128,     ,     ,     ,     
  225,19710129,   87,   65,     ,     
  225,19710130,   72,   65,     ,     
  225,19710131,   46,   85,     ,     
  225,19710201,  103,   45,     ,     
  225,19710202,   87,   55,     ,     
  225,19710203,   98,   65,     ,     
  225,19710204,   46,   65,     ,     
  225,19710205,   41,   65,     ,     
  225,19710206,   41,   65,     ,     
  225,19710207,   62,   65,     ,     
  225,19710208,   51,   75,     ,     
  225,19710209,   31,   65,     ,     
  225,19710210,   41,   65,     ,     
  225,19710211,   41,   65,     ,     
