# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 257         4.603       52.506      8.50        Wijk aan Zee
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  257,20010501,     ,  129,    0,   75
  257,20010502,     ,  190,    0,   71
  257,20010503,     ,  169,   65,   85
  257,20010504,     ,   99,   64,   82
  257,20010505,     ,  108,    0,   70
  257,20010506,     ,  146,    0,   68
  257,20010507,     ,  159,    0,   66
  257,20010508,     ,  130,    0,   77
  257,20010509,     ,  224,    0,   69
  257,20010510,     ,  251,    0,   58
  257,20010511,     ,  251,    0,   63
  257,20010512,     ,  246,    0,   63
  257,20010513,     ,  249,    0,   59
  257,20010514,     ,  169,   45,   87
  257,20010515,     ,  146,   49,   92
  257,20010516,     ,  160,   84,   85
  257,20010517,     ,  148,  115,   78
  257,20010518,     ,  124,   -1,   86
  257,20010519,     ,  137,    0,   81
  257,20010520,     ,  150,    0,   78
  257,20010521,     ,  167,    0,   72
  257,20010522,     ,  192,    0,   71
  257,20010523,     ,  223,    0,   66
  257,20010524,     ,  201,    0,   74
  257,20010525,     ,  206,    0,   65
  257,20010526,     ,  177,    0,   72
  257,20010527,     ,  144,    2,   92
  257,20010528,     ,  162,   -1,   90
  257,20010529,     ,  168,    0,   82
  257,20010530,     ,  198,    0,   72
  257,20010531,     ,  140,   25,   82
  257,20010601,     ,  151,   18,   82
  257,20010602,     ,  136,  131,   83
  257,20010603,     ,  116,    5,   69
  257,20010604,     ,  148,    0,   77
  257,20010605,     ,  172,    0,   70
  257,20010606,     ,  174,    0,   76
  257,20010607,     ,  145,   17,   71
  257,20010608,     ,  147,    0,   64
  257,20010609,     ,  151,    0,   61
  257,20010610,     ,  166,    0,   66
  257,20010611,     ,  149,    0,   68
  257,20010612,     ,  165,    0,   73
  257,20010613,     ,  172,    0,   79
  257,20010614,     ,  207,    0,   64
  257,20010615,     ,  185,  224,   81
  257,20010616,     ,  194,    2,   82
  257,20010617,     ,  186,    1,   86
  257,20010618,     ,  144,    0,   74
  257,20010619,     ,  175,    0,   67
  257,20010620,     ,  199,    0,   69
  257,20010621,     ,  158,   -1,   75
  257,20010622,     ,  152,    0,   75
  257,20010623,     ,  171,    0,   74
  257,20010624,     ,  198,    0,   78
  257,20010625,     ,  237,    0,   69
  257,20010626,     ,  262,    0,   61
  257,20010627,     ,  219,    5,   82
  257,20010628,     ,  194,   -1,   82
  257,20010629,     ,  220,    0,   77
  257,20010630,     ,  203,    0,   78
  257,20010701,     ,  194,    0,   79
  257,20010702,     ,  219,    0,   76
  257,20010703,     ,  256,    0,   71
  257,20010704,     ,  289,    0,   54
  257,20010705,     ,  320,    0,   57
  257,20010706,     ,  288,    0,   75
  257,20010707,     ,  217,   11,   86
  257,20010708,     ,  199,    7,   91
  257,20010709,     ,  203,    0,   75
  257,20010710,     ,  220,   15,   76
  257,20010711,     ,  187,   13,   70
  257,20010712,     ,  194,    1,   68
  257,20010713,     ,  197,    1,   68
  257,20010714,     ,  197,   47,   77
  257,20010715,     ,  186,    0,   70
  257,20010716,     ,  181,    0,   77
  257,20010717,     ,  226,   -1,   68
  257,20010718,     ,  184,  154,   85
  257,20010719,     ,  193,    2,   84
  257,20010720,     ,  168,   25,   81
  257,20010721,     ,  184,    9,   84
  257,20010722,     ,  211,    0,   77
  257,20010723,     ,  221,    0,   85
  257,20010724,     ,  208,    0,   88
  257,20010725,     ,  235,    0,   84
  257,20010726,     ,  278,    0,   72
  257,20010727,     ,  280,    3,   78
  257,20010728,     ,  214,    0,   87
  257,20010729,     ,  239,    0,   75
  257,20010730,     ,  225,    0,   78
  257,20010731,     ,  219,    0,   79
  257,20010801,     ,  221,    0,   67
  257,20010802,     ,  262,   15,   71
  257,20010803,     ,  204,    0,   80
  257,20010804,     ,  202,   28,   73
  257,20010805,     ,  193,  351,   78
  257,20010806,     ,  218,   34,   83
  257,20010807,     ,  209,   92,   82
  257,20010808,     ,  194,  135,   78
  257,20010809,     ,  188,  310,   80
  257,20010810,     ,  184,  322,   75
  257,20010811,     ,  199,    0,   69
  257,20010812,     ,  181,  267,   87
  257,20010813,     ,  198,    0,   89
  257,20010814,     ,  238,    0,   82
  257,20010815,     ,  325,    0,   67
  257,20010816,     ,  222,    9,   78
  257,20010817,     ,  209,    0,   74
  257,20010818,     ,  246,   78,   82
  257,20010819,     ,  234,   41,   80
  257,20010820,     ,  212,    0,   81
  257,20010821,     ,  230,    0,   82
  257,20010822,     ,  242,    0,   79
  257,20010823,     ,  253,    4,   85
  257,20010824,     ,  275,    0,   82
  257,20010825,     ,  294,    0,   69
  257,20010826,     ,  259,   69,   81
  257,20010827,     ,  190,    1,   69
  257,20010828,     ,  186,    0,   69
  257,20010829,     ,  204,    0,   78
  257,20010830,     ,  199,    8,   80
  257,20010831,     ,  181,  130,   84
  257,20010901,     ,  180,    5,   73
  257,20010902,     ,  190,  160,   84
  257,20010903,     ,  184,   43,   81
  257,20010904,     ,  164,  241,   80
  257,20010905,     ,  168,    5,   72
  257,20010906,     ,  186,   16,   81
  257,20010907,     ,  179,   15,   74
  257,20010908,     ,  172,   81,   69
  257,20010909,     ,  160,   55,   68
  257,20010910,     ,  156,   53,   72
  257,20010911,     ,  163,   31,   74
  257,20010912,     ,  181,   39,   78
  257,20010913,     ,  161,   90,   77
  257,20010914,     ,  169,    1,   78
  257,20010915,     ,  163,  176,   73
  257,20010916,     ,  143,  114,   76
  257,20010917,     ,  161,  153,   86
  257,20010918,     ,  139,    5,   86
  257,20010919,     ,  134,  167,   91
  257,20010920,     ,  153,  120,   88
  257,20010921,     ,  161,   23,   76
  257,20010922,     ,  153,   44,   77
  257,20010923,     ,  173,   18,   85
  257,20010924,     ,  159,   76,   88
  257,20010925,     ,  163,    5,   87
  257,20010926,     ,  171,   14,   83
  257,20010927,     ,  172,    8,   90
  257,20010928,     ,  197,    1,   81
  257,20010929,     ,  196,   63,   84
  257,20010930,     ,  197,   12,   84
  257,20011001,     ,  179,   10,   83
  257,20011002,     ,  192,  223,   87
  257,20011003,     ,  175,    0,   80
  257,20011004,     ,  175,    1,   77
  257,20011005,     ,  191,    0,   77
  257,20011006,     ,  193,   17,   82
  257,20011007,     ,  181,   -1,   77
  257,20011008,     ,  179,   21,   68
  257,20011009,     ,  163,   65,   80
  257,20011010,     ,  162,    2,   75
  257,20011011,     ,  167,    7,   91
  257,20011012,     ,  205,    0,   77
  257,20011013,     ,  223,    0,   79
  257,20011014,     ,  208,    0,   84
  257,20011015,     ,  211,   31,   81
  257,20011016,     ,  166,    0,   76
  257,20011017,     ,  191,    0,   82
  257,20011018,     ,  191,   67,   87
  257,20011019,     ,  180,    0,   91
  257,20011020,     ,  207,    1,   79
  257,20011021,     ,  168,   -1,   82
  257,20011022,     ,  147,   25,   86
  257,20011023,     ,  148,   46,   91
  257,20011024,     ,  155,   10,   89
  257,20011025,     ,  158,    0,   88
  257,20011026,     ,  168,   29,   85
  257,20011027,     ,  159,    0,   78
  257,20011028,     ,  151,    0,   73
  257,20011029,     ,  151,    0,   78
  257,20011030,     ,  191,    0,   77
  257,20011031,     ,  156,   13,   70
  257,20011101,     ,  130,    0,   65
  257,20011102,     ,  147,    0,   70
  257,20011103,     ,  142,    0,   71
  257,20011104,     ,  133,    6,   72
  257,20011105,     ,  116,   -1,   61
  257,20011106,     ,  131,   20,   76
  257,20011107,     ,  119,  128,   78
  257,20011108,     ,  110,   87,   76
  257,20011109,     ,   81,   35,   87
  257,20011110,     ,  100,    3,   84
  257,20011111,     ,  121,    7,   92
  257,20011112,     ,  119,   48,   94
  257,20011113,     ,   76,   54,   82
  257,20011114,     ,   85,   31,   80
  257,20011115,     ,  108,    0,   84
  257,20011116,     ,  114,    2,   96
  257,20011117,     ,  104,   -1,   94
  257,20011118,     ,  102,    2,   96
  257,20011119,     ,  103,    2,   90
  257,20011120,     ,  108,    0,   73
  257,20011121,     ,  121,   24,   87
  257,20011122,     ,  120,   35,   72
  257,20011123,     ,   76,   71,   78
  257,20011124,     ,  107,   21,   97
  257,20011125,     ,  117,   54,   98
  257,20011126,     ,   98,    2,   79
  257,20011127,     ,   89,   69,   86
  257,20011128,     ,   97,    1,   75
  257,20011129,     ,  111,  121,   96
  257,20011130,     ,  125,  100,  100
  257,20011201,     ,  137,   43,   96
  257,20011202,     ,   95,    2,   91
  257,20011203,     ,  100,    1,   99
