# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 258         5.401       52.649      7.30        Houtribdijk 
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  258,20060201,   27,     ,     ,     
  258,20060202,   20,     ,     ,     
  258,20060203,   48,     ,     ,     
  258,20060204,   51,     ,     ,     
  258,20060205,   50,     ,     ,     
  258,20060206,   60,     ,     ,     
  258,20060207,   99,     ,     ,     
  258,20060208,  111,     ,     ,     
  258,20060209,  121,     ,     ,     
  258,20060210,   62,     ,     ,     
  258,20060211,   23,     ,     ,     
  258,20060212,   80,     ,     ,     
  258,20060213,   50,     ,     ,     
  258,20060214,   68,     ,     ,     
  258,20060215,   97,     ,     ,     
  258,20060216,   69,     ,     ,     
  258,20060217,   83,     ,     ,     
  258,20060218,   38,     ,     ,     
  258,20060219,   68,     ,     ,     
  258,20060220,  112,     ,     ,     
  258,20060221,  115,     ,     ,     
  258,20060222,   97,     ,     ,     
  258,20060223,   48,     ,     ,     
  258,20060224,  116,     ,     ,     
  258,20060225,  123,     ,     ,     
  258,20060226,   71,     ,     ,     
  258,20060227,   49,     ,     ,     
  258,20060228,   68,     ,     ,     
  258,20060301,   78,     ,     ,     
  258,20060302,   90,     ,     ,     
  258,20060303,   42,     ,     ,     
  258,20060304,   74,     ,     ,     
  258,20060305,   80,     ,     ,     
  258,20060306,   83,     ,     ,     
  258,20060307,   40,     ,     ,     
  258,20060308,   65,     ,     ,     
  258,20060309,   33,     ,     ,     
  258,20060310,   57,     ,     ,     
  258,20060311,  113,     ,     ,     
  258,20060312,   36,     ,     ,     
  258,20060313,   69,     ,     ,     
  258,20060314,   73,     ,     ,     
  258,20060315,   93,     ,     ,     
  258,20060316,   95,     ,     ,     
  258,20060317,   91,     ,     ,     
  258,20060318,   77,     ,     ,     
  258,20060319,   34,     ,     ,     
  258,20060320,   56,     ,     ,     
  258,20060321,   60,     ,     ,     
  258,20060322,   47,     ,     ,     
  258,20060323,   60,     ,     ,     
  258,20060324,   75,     ,     ,     
  258,20060325,   62,     ,     ,     
  258,20060326,   91,     ,     ,     
  258,20060327,  112,     ,     ,     
  258,20060328,  131,     ,     ,     
  258,20060329,   90,     ,     ,     
  258,20060330,  121,     ,     ,     
  258,20060331,  125,     ,     ,     
  258,20060401,   95,     ,     ,     
  258,20060402,  108,     ,     ,     
  258,20060403,  102,     ,     ,     
  258,20060404,   88,     ,     ,     
  258,20060405,   76,     ,     ,     
  258,20060406,  108,     ,     ,     
  258,20060407,   81,     ,     ,     
  258,20060408,  118,     ,     ,     
  258,20060409,   85,     ,     ,     
  258,20060410,   75,     ,     ,     
  258,20060411,  107,     ,     ,     
  258,20060412,   83,     ,     ,     
  258,20060413,  103,     ,     ,     
  258,20060414,   76,     ,     ,     
  258,20060415,   55,     ,     ,     
  258,20060416,   60,     ,     ,     
  258,20060417,   85,     ,     ,     
  258,20060418,   72,     ,     ,     
  258,20060419,   91,     ,     ,     
  258,20060420,   49,     ,     ,     
  258,20060421,   39,     ,     ,     
  258,20060422,   50,     ,     ,     
  258,20060423,   38,     ,     ,     
  258,20060424,   35,     ,     ,     
  258,20060425,   49,     ,     ,     
  258,20060426,   60,     ,     ,     
  258,20060427,   58,     ,     ,     
  258,20060428,   85,     ,     ,     
  258,20060429,   92,     ,     ,     
  258,20060430,   28,     ,     ,     
  258,20060501,   94,     ,     ,     
  258,20060502,   45,     ,     ,     
  258,20060503,   49,     ,     ,     
  258,20060504,   68,     ,     ,     
  258,20060505,   68,     ,     ,     
  258,20060506,   75,     ,     ,     
