# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 277         6.200       53.413      2.90        Lauwersoog  
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  277,19910318,   46,  155,     ,   89
  277,19910319,  118,  123,     ,   94
  277,19910320,   87,  121,     ,   92
  277,19910321,   93,  123,     ,   86
  277,19910322,   62,   85,     ,   83
  277,19910323,   31,   82,     ,   83
  277,19910324,   51,   87,     ,   86
  277,19910325,  123,   77,     ,   86
  277,19910326,  118,  114,     ,   77
  277,19910327,   67,   92,     ,   81
  277,19910328,   41,   93,     ,   86
  277,19910329,   62,   83,     ,   76
  277,19910330,   62,  100,     ,   86
  277,19910331,   46,   95,     ,   81
  277,19910401,   87,  111,     ,   97
  277,19910402,  103,  104,     ,   94
  277,19910403,   62,  119,     ,   86
  277,19910404,   93,  134,     ,   73
  277,19910405,   82,  118,     ,   80
  277,19910406,   51,  128,     ,   80
  277,19910407,   87,  119,     ,   85
  277,19910408,   93,  115,     ,   83
  277,19910409,   51,  129,     ,   77
  277,19910410,   51,  168,     ,   77
  277,19910411,   67,  198,     ,   58
  277,19910412,   62,  205,     ,   54
  277,19910413,   72,  177,     ,   77
  277,19910414,   87,  136,     ,   89
  277,19910415,   62,  141,     ,   83
  277,19910416,  149,   79,     ,   74
  277,19910417,  113,   82,     ,   69
  277,19910418,   62,   74,     ,   82
  277,19910419,   72,   66,     ,   66
  277,19910420,   57,   66,     ,   63
  277,19910421,   67,   79,     ,   76
  277,19910422,   67,   85,     ,   83
  277,19910423,   57,   97,     ,   81
  277,19910424,   46,   97,     ,   84
  277,19910425,   72,  117,     ,   79
  277,19910426,   87,  105,     ,   82
  277,19910427,   57,   87,     ,   86
