# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 285         6.399       53.575      0.00        Huibertgat  
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  285,19810101,  190,     ,     ,     
  285,19810102,  139,     ,     ,     
  285,19810103,  159,     ,     ,     
  285,19810104,  144,     ,     ,     
  285,19810105,  118,     ,     ,     
  285,19810106,   62,     ,     ,     
  285,19810107,   93,     ,     ,     
  285,19810108,  103,     ,     ,     
  285,19810109,  103,     ,     ,     
  285,19810110,  103,     ,     ,     
  285,19810111,   62,     ,     ,     
  285,19810112,  123,     ,     ,     
  285,19810113,  118,     ,     ,     
  285,19810114,  159,     ,     ,     
  285,19810115,  165,     ,     ,     
  285,19810116,  129,     ,     ,     
  285,19810117,   98,     ,     ,     
  285,19810118,   82,     ,     ,     
  285,19810119,  134,     ,     ,     
  285,19810120,   62,     ,     ,     
  285,19810121,   87,     ,     ,     
  285,19810122,   72,     ,     ,     
  285,19810123,   62,     ,     ,     
  285,19810124,   93,     ,     ,     
  285,19810125,  103,     ,     ,     
  285,19810126,   57,     ,     ,     
  285,19810127,   46,     ,     ,     
  285,19810128,   46,     ,     ,     
  285,19810129,   67,     ,     ,     
  285,19810130,   87,     ,     ,     
  285,19810131,   93,     ,     ,     
  285,19810201,   93,     ,     ,     
  285,19810202,  123,     ,     ,     
  285,19810203,  149,     ,     ,     
  285,19810204,  113,     ,     ,     
  285,19810205,  103,     ,     ,     
  285,19810206,  113,     ,     ,     
  285,19810207,  123,     ,     ,     
  285,19810208,  118,     ,     ,     
  285,19810209,   72,     ,     ,     
  285,19810210,  129,     ,     ,     
  285,19810211,  108,     ,     ,     
  285,19810212,   36,     ,     ,     
  285,19810213,   46,     ,     ,     
  285,19810214,   36,     ,     ,     
  285,19810215,   62,     ,     ,     
  285,19810216,   62,     ,     ,     
  285,19810217,   87,     ,     ,     
  285,19810218,  123,     ,     ,     
  285,19810219,  118,     ,     ,     
  285,19810220,   87,     ,     ,     
  285,19810221,   46,     ,     ,     
  285,19810222,   93,     ,     ,     
  285,19810223,   62,     ,     ,     
  285,19810224,   82,     ,     ,     
  285,19810225,   62,     ,     ,     
  285,19810226,   77,     ,     ,     
  285,19810227,  123,     ,     ,     
  285,19810228,  159,     ,     ,     
  285,19810301,   62,     ,     ,     
  285,19810302,   67,     ,     ,     
  285,19810303,  113,     ,     ,     
  285,19810304,   67,     ,     ,     
  285,19810305,   77,     ,     ,     
  285,19810306,   77,     ,     ,     
  285,19810307,  139,     ,     ,     
  285,19810308,  118,     ,     ,     
  285,19810309,   82,     ,     ,     
  285,19810310,   93,     ,     ,     
  285,19810311,   98,     ,     ,     
  285,19810312,   57,     ,     ,     
  285,19810313,   57,     ,     ,     
