# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 308         3.379       51.381      0.00        Cadzand     
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  308,19720101,   72,     ,     ,     
  308,19720102,   41,     ,     ,     
  308,19720103,   62,     ,     ,     
  308,19720104,   41,     ,     ,     
  308,19720105,   36,     ,     ,     
  308,19720106,   26,     ,     ,     
  308,19720107,   41,     ,     ,     
  308,19720108,   57,     ,     ,     
  308,19720109,   41,     ,     ,     
  308,19720110,   46,     ,     ,     
  308,19720111,   72,     ,     ,     
  308,19720112,   41,     ,     ,     
  308,19720113,   46,     ,     ,     
  308,19720114,   41,     ,     ,     
  308,19720115,   62,     ,     ,     
  308,19720116,   72,     ,     ,     
  308,19720117,   98,     ,     ,     
  308,19720118,   72,     ,     ,     
  308,19720119,   82,     ,     ,     
  308,19720120,   41,     ,     ,     
  308,19720121,   41,     ,     ,     
  308,19720122,   46,     ,     ,     
  308,19720123,   72,     ,     ,     
  308,19720124,   98,     ,     ,     
  308,19720125,   67,     ,     ,     
  308,19720126,  113,     ,     ,     
  308,19720127,  159,     ,     ,     
  308,19720128,  144,     ,     ,     
  308,19720129,  144,     ,     ,     
  308,19720130,   51,     ,     ,     
  308,19720131,   72,     ,     ,     
  308,19720201,   77,     ,     ,     
  308,19720202,   67,     ,     ,     
  308,19720203,   67,     ,     ,     
  308,19720204,   62,     ,     ,     
  308,19720205,   62,     ,     ,     
  308,19720206,   72,     ,     ,     
  308,19720207,   36,     ,     ,     
  308,19720208,   62,     ,     ,     
  308,19720209,   41,     ,     ,     
  308,19720210,   62,     ,     ,     
  308,19720211,   82,     ,     ,     
  308,19720212,   77,     ,     ,     
  308,19720213,   41,     ,     ,     
  308,19720214,   57,     ,     ,     
  308,19720215,   67,     ,     ,     
  308,19720216,   72,     ,     ,     
  308,19720217,   57,     ,     ,     
  308,19720218,   87,     ,     ,     
  308,19720219,   98,     ,     ,     
  308,19720220,   57,     ,     ,     
  308,19720221,   36,     ,     ,     
  308,19720222,   41,     ,     ,     
  308,19720223,   77,     ,     ,     
  308,19720224,   67,     ,     ,     
  308,19720225,   46,     ,     ,     
  308,19720226,   36,     ,     ,     
  308,19720227,   31,     ,     ,     
  308,19720228,   36,     ,     ,     
  308,19720229,   51,     ,     ,     
  308,19720301,   46,     ,     ,     
  308,19720302,   36,     ,     ,     
  308,19720303,   77,     ,     ,     
  308,19720304,   72,     ,     ,     
  308,19720305,   67,     ,     ,     
  308,19720306,   87,     ,     ,     
  308,19720307,   87,     ,     ,     
  308,19720308,   41,     ,     ,     
  308,19720309,   57,     ,     ,     
  308,19720310,  113,     ,     ,     
  308,19720311,  154,     ,     ,     
  308,19720312,  149,     ,     ,     
  308,19720313,   67,     ,     ,     
  308,19720314,   51,     ,     ,     
  308,19720315,   41,     ,     ,     
  308,19720316,   36,     ,     ,     
  308,19720317,   36,     ,     ,     
  308,19720318,   26,     ,     ,     
  308,19720319,   31,     ,     ,     
  308,19720320,   41,     ,     ,     
  308,19720321,   46,     ,     ,     
  308,19720322,   31,     ,     ,     
  308,19720323,   41,     ,     ,     
  308,19720324,   67,     ,     ,     
  308,19720325,   57,     ,     ,     
  308,19720326,   98,     ,     ,     
  308,19720327,  149,     ,     ,     
  308,19720328,  134,     ,     ,     
  308,19720329,   98,     ,     ,     
  308,19720330,  103,     ,     ,     
  308,19720331,  118,     ,     ,     
  308,19720401,   77,     ,     ,     
  308,19720402,  134,     ,     ,     
  308,19720403,  103,     ,     ,     
  308,19720404,   98,     ,     ,     
  308,19720405,  139,     ,     ,     
  308,19720406,  123,     ,     ,     
  308,19720407,  149,     ,     ,     
  308,19720408,  134,     ,     ,     
  308,19720409,   51,     ,     ,     
  308,19720410,   98,     ,     ,     
  308,19720411,   67,     ,     ,     
  308,19720412,   67,     ,     ,     
  308,19720413,   36,     ,     ,     
  308,19720414,   46,     ,     ,     
  308,19720415,  139,     ,     ,     
  308,19720416,  123,     ,     ,     
  308,19720417,   72,     ,     ,     
  308,19720418,   72,     ,     ,     
  308,19720419,  134,     ,     ,     
  308,19720420,  108,     ,     ,     
  308,19720421,  113,     ,     ,     
