# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 311         3.672       51.379      0.00        Hoofdplaat  
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  311,19970201,   36,     ,     ,     
  311,19970202,   38,     ,     ,     
  311,19970203,   42,     ,     ,     
  311,19970204,   77,     ,     ,     
  311,19970205,   42,     ,     ,     
  311,19970206,   61,     ,     ,     
  311,19970207,   54,     ,     ,     
  311,19970208,   23,     ,     ,     
  311,19970209,   54,     ,     ,     
  311,19970210,   89,     ,     ,     
  311,19970211,   73,     ,     ,     
  311,19970212,  108,     ,     ,     
  311,19970213,  125,     ,     ,     
  311,19970214,   37,     ,     ,     
  311,19970215,   48,     ,     ,     
  311,19970216,   53,     ,     ,     
  311,19970217,   70,     ,     ,     
  311,19970218,  115,     ,     ,     
  311,19970219,   94,     ,     ,     
  311,19970220,   98,     ,     ,     
  311,19970221,   91,     ,     ,     
  311,19970222,   45,     ,     ,     
  311,19970223,   63,     ,     ,     
  311,19970224,  103,     ,     ,     
  311,19970225,  132,     ,     ,     
  311,19970226,  129,     ,     ,     
  311,19970227,   69,     ,     ,     
  311,19970228,   63,     ,     ,     
  311,19970301,   57,     ,     ,     
  311,19970302,   71,     ,     ,     
  311,19970303,   31,     ,     ,     
  311,19970304,   53,     ,     ,     
  311,19970305,   42,     ,     ,     
  311,19970306,   46,     ,     ,     
  311,19970307,   36,     ,     ,     
  311,19970308,   30,     ,     ,     
  311,19970309,   45,     ,     ,     
  311,19970310,   27,     ,     ,     
  311,19970311,   28,     ,     ,     
  311,19970312,   43,     ,     ,     
  311,19970313,   52,     ,     ,     
  311,19970314,   55,     ,     ,     
