# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 312         3.622       51.768      0.00        Oosterschelde
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  312,19820101,     ,     ,     ,     
  312,19820102,     ,     ,     ,     
  312,19820103,     ,     ,     ,     
  312,19820104,     ,     ,     ,     
  312,19820105,     ,     ,     ,     
  312,19820106,     ,     ,     ,     
  312,19820107,     ,     ,     ,     
  312,19820108,  129,     ,     ,     
  312,19820109,  103,     ,     ,     
  312,19820110,  103,     ,     ,     
  312,19820111,   98,     ,     ,     
  312,19820112,   57,     ,     ,     
  312,19820113,   67,     ,     ,     
  312,19820114,   51,     ,     ,     
  312,19820115,   57,     ,     ,     
  312,19820116,   62,     ,     ,     
  312,19820117,   46,     ,     ,     
  312,19820118,   46,     ,     ,     
  312,19820119,   57,     ,     ,     
  312,19820120,   51,     ,     ,     
  312,19820121,   57,     ,     ,     
  312,19820122,   67,     ,     ,     
  312,19820123,   36,     ,     ,     
  312,19820124,   51,     ,     ,     
  312,19820125,   93,     ,     ,     
  312,19820126,   98,     ,     ,     
  312,19820127,   93,     ,     ,     
  312,19820128,   98,     ,     ,     
  312,19820129,   98,     ,     ,     
  312,19820130,  113,     ,     ,     
  312,19820131,   51,     ,     ,     
  312,19820201,   51,     ,     ,     
  312,19820202,   82,     ,     ,     
  312,19820203,   93,     ,     ,     
  312,19820204,   67,     ,     ,     
  312,19820205,   82,     ,     ,     
  312,19820206,   77,     ,     ,     
  312,19820207,   72,     ,     ,     
  312,19820208,   67,     ,     ,     
  312,19820209,   77,     ,     ,     
  312,19820210,   67,     ,     ,     
  312,19820211,   82,     ,     ,     
  312,19820212,   77,     ,     ,     
  312,19820213,   82,     ,     ,     
  312,19820214,   36,     ,     ,     
  312,19820215,   98,     ,     ,     
  312,19820216,   77,     ,     ,     
  312,19820217,   72,     ,     ,     
  312,19820218,   67,     ,     ,     
  312,19820219,   93,     ,     ,     
  312,19820220,   77,     ,     ,     
  312,19820221,   93,     ,     ,     
  312,19820222,   62,     ,     ,     
  312,19820223,   62,     ,     ,     
  312,19820224,   41,     ,     ,     
  312,19820225,   62,     ,     ,     
  312,19820226,   67,     ,     ,     
  312,19820227,   67,     ,     ,     
  312,19820228,   98,     ,     ,     
  312,19820301,  134,     ,     ,     
  312,19820302,  108,     ,     ,     
  312,19820303,  144,     ,     ,     
  312,19820304,   98,     ,     ,     
  312,19820305,   41,     ,     ,     
  312,19820306,   62,     ,     ,     
  312,19820307,   51,     ,     ,     
  312,19820308,   31,     ,     ,     
  312,19820309,   67,     ,     ,     
  312,19820310,  144,     ,     ,     
  312,19820311,  134,     ,     ,     
  312,19820312,  123,     ,     ,     
  312,19820313,   93,     ,     ,     
  312,19820314,  103,     ,     ,     
  312,19820315,  123,     ,     ,     
  312,19820316,  134,     ,     ,     
  312,19820317,   87,     ,     ,     
  312,19820318,   62,     ,     ,     
  312,19820319,   46,     ,     ,     
  312,19820320,   82,     ,     ,     
  312,19820321,   36,     ,     ,     
  312,19820322,   36,     ,     ,     
  312,19820323,   77,     ,     ,     
  312,19820324,   36,     ,     ,     
  312,19820325,   15,     ,     ,     
  312,19820326,   31,     ,     ,     
  312,19820327,   31,     ,     ,     
  312,19820328,   41,     ,     ,     
  312,19820329,   77,     ,     ,     
  312,19820330,  129,     ,     ,     
  312,19820331,  108,     ,     ,     
  312,19820401,   67,     ,     ,     
  312,19820402,   46,     ,     ,     
  312,19820403,   46,     ,     ,     
  312,19820404,   57,     ,     ,     
  312,19820405,   57,     ,     ,     
  312,19820406,   72,     ,     ,     
  312,19820407,  123,     ,     ,     
  312,19820408,  123,     ,     ,     
  312,19820409,   93,     ,     ,     
  312,19820410,   82,     ,     ,     
  312,19820411,   98,     ,     ,     
  312,19820412,  108,     ,     ,     
  312,19820413,   82,     ,     ,     
  312,19820414,   36,     ,     ,     
  312,19820415,   46,     ,     ,     
  312,19820416,   72,     ,     ,     
  312,19820417,   98,     ,     ,     
  312,19820418,   67,     ,     ,     
  312,19820419,   77,     ,     ,     
  312,19820420,   57,     ,     ,     
  312,19820421,   31,     ,     ,     
  312,19820422,   36,     ,     ,     
  312,19820423,   67,     ,     ,     
  312,19820424,  103,     ,     ,     
  312,19820425,   77,     ,     ,     
  312,19820426,   93,     ,     ,     
  312,19820427,   72,     ,     ,     
  312,19820428,   41,     ,     ,     
  312,19820429,  108,     ,     ,     
  312,19820430,   98,     ,     ,     
  312,19820501,   98,     ,     ,     
  312,19820502,  108,     ,     ,     
  312,19820503,  134,     ,     ,     
  312,19820504,   98,     ,     ,     
  312,19820505,   41,     ,     ,     
  312,19820506,   46,     ,     ,     
  312,19820507,   77,     ,     ,     
  312,19820508,   57,     ,     ,     
  312,19820509,   51,     ,     ,     
  312,19820510,   46,     ,     ,     
  312,19820511,   57,     ,     ,     
  312,19820512,   67,     ,     ,     
  312,19820513,   67,     ,     ,     
  312,19820514,   67,     ,     ,     
  312,19820515,   62,     ,     ,     
  312,19820516,   36,     ,     ,     
  312,19820517,   26,     ,     ,     
  312,19820518,   31,     ,     ,     
  312,19820519,   41,     ,     ,     
  312,19820520,   36,     ,     ,     
  312,19820521,   36,     ,     ,     
  312,19820522,   93,     ,     ,     
  312,19820523,   93,     ,     ,     
  312,19820524,   93,     ,     ,     
  312,19820525,   57,     ,     ,     
  312,19820526,   51,     ,     ,     
  312,19820527,   62,     ,     ,     
  312,19820528,   46,     ,     ,     
  312,19820529,   36,     ,     ,     
  312,19820530,   72,     ,     ,     
  312,19820531,   51,     ,     ,     
  312,19820601,   31,     ,     ,     
  312,19820602,   51,     ,     ,     
  312,19820603,   41,     ,     ,     
  312,19820604,   51,     ,     ,     
  312,19820605,   36,     ,     ,     
  312,19820606,   26,     ,     ,     
  312,19820607,   46,     ,     ,     
  312,19820608,   67,     ,     ,     
  312,19820609,   67,     ,     ,     
  312,19820610,   67,     ,     ,     
  312,19820611,  103,     ,     ,     
  312,19820612,   98,     ,     ,     
  312,19820613,   98,     ,     ,     
  312,19820614,   77,     ,     ,     
  312,19820615,   36,     ,     ,     
  312,19820616,   67,     ,     ,     
  312,19820617,   72,     ,     ,     
  312,19820618,  108,     ,     ,     
  312,19820619,   93,     ,     ,     
  312,19820620,   36,     ,     ,     
  312,19820621,   57,     ,     ,     
  312,19820622,   51,     ,     ,     
  312,19820623,   82,     ,     ,     
  312,19820624,   67,     ,     ,     
  312,19820625,   62,     ,     ,     
  312,19820626,   67,     ,     ,     
  312,19820627,  108,     ,     ,     
  312,19820628,  139,     ,     ,     
  312,19820629,  108,     ,     ,     
  312,19820630,   93,     ,     ,     
  312,19820701,   67,     ,     ,     
  312,19820702,   51,     ,     ,     
  312,19820703,   67,     ,     ,     
  312,19820704,  118,     ,     ,     
  312,19820705,   72,     ,     ,     
  312,19820706,   67,     ,     ,     
  312,19820707,   21,     ,     ,     
  312,19820708,   41,     ,     ,     
  312,19820709,   77,     ,     ,     
  312,19820710,   57,     ,     ,     
  312,19820711,   82,     ,     ,     
  312,19820712,   98,     ,     ,     
  312,19820713,   77,     ,     ,     
  312,19820714,   62,     ,     ,     
  312,19820715,   87,     ,     ,     
  312,19820716,   51,     ,     ,     
  312,19820717,   36,     ,     ,     
  312,19820718,   57,     ,     ,     
