# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 313         3.242       51.505      0.00        Vlakte van De Raan
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  313,19970201,   43,     ,     ,     
  313,19970202,   55,     ,     ,     
  313,19970203,   55,     ,     ,     
  313,19970204,  106,     ,     ,     
  313,19970205,   50,     ,     ,     
  313,19970206,   84,     ,     ,     
  313,19970207,   71,     ,     ,     
  313,19970208,   33,     ,     ,     
  313,19970209,   73,     ,     ,     
  313,19970210,  112,     ,     ,     
  313,19970211,   99,     ,     ,     
  313,19970212,  124,     ,     ,     
  313,19970213,  138,     ,     ,     
  313,19970214,   46,     ,     ,     
  313,19970215,   53,     ,     ,     
  313,19970216,   78,     ,     ,     
  313,19970217,   98,     ,     ,     
  313,19970218,  129,     ,     ,     
  313,19970219,  123,     ,     ,     
  313,19970220,  123,     ,     ,     
  313,19970221,  133,     ,     ,     
  313,19970222,   70,     ,     ,     
  313,19970223,   80,     ,     ,     
  313,19970224,  128,     ,     ,     
  313,19970225,  158,     ,     ,     
  313,19970226,  138,     ,     ,     
  313,19970227,   80,     ,     ,     
  313,19970228,   94,     ,     ,     
  313,19970301,   73,     ,     ,     
  313,19970302,   98,     ,     ,     
  313,19970303,   32,     ,     ,     
  313,19970304,   65,     ,     ,     
  313,19970305,   58,     ,     ,     
  313,19970306,   59,     ,     ,     
  313,19970307,   37,     ,     ,     
  313,19970308,   32,     ,     ,     
  313,19970309,   50,     ,     ,     
  313,19970310,   24,     ,     ,     
  313,19970311,   34,     ,     ,     
  313,19970312,   55,     ,     ,     
  313,19970313,   74,     ,     ,     
  313,19970314,   75,     ,     ,     
  313,19970315,   70,     ,     ,     
  313,19970316,   72,     ,     ,     
  313,19970317,   38,     ,     ,     
  313,19970318,   81,     ,     ,     
  313,19970319,  119,     ,     ,     
  313,19970320,   58,     ,     ,     
  313,19970321,   74,     ,     ,     
  313,19970322,   29,     ,     ,     
  313,19970323,   70,     ,     ,     
  313,19970324,   20,     ,     ,     
  313,19970325,   45,     ,     ,     
  313,19970326,   98,     ,     ,     
  313,19970327,  105,     ,     ,     
  313,19970328,  100,     ,     ,     
  313,19970329,   71,     ,     ,     
  313,19970330,   33,     ,     ,     
  313,19970331,   30,     ,     ,     
  313,19970401,   23,     ,     ,     
  313,19970402,   18,     ,     ,     
  313,19970403,   79,     ,     ,     
  313,19970404,   90,     ,     ,     
  313,19970405,  107,     ,     ,     
  313,19970406,   75,     ,     ,     
  313,19970407,   62,     ,     ,     
  313,19970408,   48,     ,     ,     
  313,19970409,   24,     ,     ,     
  313,19970410,   24,     ,     ,     
  313,19970411,   89,     ,     ,     
  313,19970412,   84,     ,     ,     
  313,19970413,   29,     ,     ,     
  313,19970414,   63,     ,     ,     
  313,19970415,   84,     ,     ,     
  313,19970416,   66,     ,     ,     
  313,19970417,   68,     ,     ,     
  313,19970418,   50,     ,     ,     
  313,19970419,   98,     ,     ,     
  313,19970420,   89,     ,     ,     
  313,19970421,   30,     ,     ,     
  313,19970422,   49,     ,     ,     
  313,19970423,   36,     ,     ,     
  313,19970424,   86,     ,     ,     
  313,19970425,   43,     ,     ,     
  313,19970426,   35,     ,     ,     
  313,19970427,   31,     ,     ,     
  313,19970428,  113,     ,     ,     
  313,19970429,   91,     ,     ,     
  313,19970430,   31,     ,     ,     
  313,19970501,   28,     ,     ,     
  313,19970502,   32,     ,     ,     
  313,19970503,   40,     ,     ,     
  313,19970504,   83,     ,     ,     
  313,19970505,   67,     ,     ,     
  313,19970506,  104,     ,     ,     
  313,19970507,   61,     ,     ,     
  313,19970508,  112,     ,     ,     
  313,19970509,  104,     ,     ,     
  313,19970510,   88,     ,     ,     
  313,19970511,   72,     ,     ,     
  313,19970512,   72,     ,     ,     
  313,19970513,   30,     ,     ,     
  313,19970514,   25,     ,     ,     
