# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 315         3.998       51.447      0.00        Hansweert   
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  315,19970201,   29,     ,     ,     
  315,19970202,   43,     ,     ,     
  315,19970203,   41,     ,     ,     
  315,19970204,  101,     ,     ,     
  315,19970205,   45,     ,     ,     
  315,19970206,   75,     ,     ,     
  315,19970207,   60,     ,     ,     
  315,19970208,   23,     ,     ,     
  315,19970209,   64,     ,     ,     
  315,19970210,  108,     ,     ,     
  315,19970211,   94,     ,     ,     
  315,19970212,  115,     ,     ,     
  315,19970213,  130,     ,     ,     
  315,19970214,   45,     ,     ,     
  315,19970215,   43,     ,     ,     
  315,19970216,   60,     ,     ,     
  315,19970217,   86,     ,     ,     
  315,19970218,  128,     ,     ,     
  315,19970219,  109,     ,     ,     
  315,19970220,  113,     ,     ,     
  315,19970221,  101,     ,     ,     
  315,19970222,   54,     ,     ,     
  315,19970223,   78,     ,     ,     
  315,19970224,  125,     ,     ,     
  315,19970225,  145,     ,     ,     
  315,19970226,  130,     ,     ,     
  315,19970227,   69,     ,     ,     
  315,19970228,   76,     ,     ,     
  315,19970301,   69,     ,     ,     
  315,19970302,   82,     ,     ,     
  315,19970303,   28,     ,     ,     
  315,19970304,   49,     ,     ,     
  315,19970305,   47,     ,     ,     
  315,19970306,   39,     ,     ,     
  315,19970307,   41,     ,     ,     
  315,19970308,   27,     ,     ,     
  315,19970309,   36,     ,     ,     
  315,19970310,   25,     ,     ,     
  315,19970311,   21,     ,     ,     
  315,19970312,   44,     ,     ,     
  315,19970313,   53,     ,     ,     
  315,19970314,   63,     ,     ,     
  315,19970315,   59,     ,     ,     
  315,19970316,   66,     ,     ,     
  315,19970317,   38,     ,     ,     
  315,19970318,   72,     ,     ,     
  315,19970319,   97,     ,     ,     
  315,19970320,   48,     ,     ,     
  315,19970321,   56,     ,     ,     
  315,19970322,   23,     ,     ,     
  315,19970323,   57,     ,     ,     
  315,19970324,   13,     ,     ,     
  315,19970325,   28,     ,     ,     
  315,19970326,   88,     ,     ,     
  315,19970327,   93,     ,     ,     
  315,19970328,  100,     ,     ,     
  315,19970329,   63,     ,     ,     
  315,19970330,   30,     ,     ,     
  315,19970331,   20,     ,     ,     
  315,19970401,   25,     ,     ,     
  315,19970402,   13,     ,     ,     
  315,19970403,   73,     ,     ,     
  315,19970404,   73,     ,     ,     
  315,19970405,  109,     ,     ,     
  315,19970406,   48,     ,     ,     
  315,19970407,   39,     ,     ,     
  315,19970408,   39,     ,     ,     
  315,19970409,   26,     ,     ,     
  315,19970410,   25,     ,     ,     
  315,19970411,   74,     ,     ,     
  315,19970412,   58,     ,     ,     
  315,19970413,   26,     ,     ,     
  315,19970414,   57,     ,     ,     
  315,19970415,   59,     ,     ,     
  315,19970416,   39,     ,     ,     
  315,19970417,   36,     ,     ,     
  315,19970418,   33,     ,     ,     
  315,19970419,   56,     ,     ,     
  315,19970420,   48,     ,     ,     
  315,19970421,   29,     ,     ,     
  315,19970422,   40,     ,     ,     
  315,19970423,   30,     ,     ,     
  315,19970424,   80,     ,     ,     
  315,19970425,   32,     ,     ,     
  315,19970426,   33,     ,     ,     
  315,19970427,   37,     ,     ,     
  315,19970428,   93,     ,     ,     
  315,19970429,   98,     ,     ,     
  315,19970430,   31,     ,     ,     
  315,19970501,   13,     ,     ,     
  315,19970502,   19,     ,     ,     
  315,19970503,   29,     ,     ,     
  315,19970504,   77,     ,     ,     
  315,19970505,   55,     ,     ,     
  315,19970506,   68,     ,     ,     
  315,19970507,   46,     ,     ,     
  315,19970508,   89,     ,     ,     
  315,19970509,   93,     ,     ,     
  315,19970510,   89,     ,     ,     
  315,19970511,   66,     ,     ,     
  315,19970512,   64,     ,     ,     
  315,19970513,   35,     ,     ,     
  315,19970514,   27,     ,     ,     
  315,19970515,   45,     ,     ,     
  315,19970516,   29,     ,     ,     
  315,19970517,   22,     ,     ,     
  315,19970518,   25,     ,     ,     
  315,19970519,   19,     ,     ,     
  315,19970520,   31,     ,     ,     
  315,19970521,   63,     ,     ,     
  315,19970522,   61,     ,     ,     
  315,19970523,   42,     ,     ,     
  315,19970524,   38,     ,     ,     
  315,19970525,   38,     ,     ,     
  315,19970526,   27,     ,     ,     
  315,19970527,   51,     ,     ,     
  315,19970528,   39,     ,     ,     
  315,19970529,   31,     ,     ,     
  315,19970530,   35,     ,     ,     
  315,19970531,   58,     ,     ,     
  315,19970601,   75,     ,     ,     
  315,19970602,   56,     ,     ,     
  315,19970603,   39,     ,     ,     
  315,19970604,   32,     ,     ,     
  315,19970605,   52,     ,     ,     
  315,19970606,   40,     ,     ,     
  315,19970607,   41,     ,     ,     
  315,19970608,   48,     ,     ,     
  315,19970609,   38,     ,     ,     
  315,19970610,   47,     ,     ,     
  315,19970611,   42,     ,     ,     
  315,19970612,   39,     ,     ,     
  315,19970613,   28,     ,     ,     
  315,19970614,   60,     ,     ,     
  315,19970615,   26,     ,     ,     
  315,19970616,   36,     ,     ,     
  315,19970617,   47,     ,     ,     
  315,19970618,   20,     ,     ,     
  315,19970619,   42,     ,     ,     
  315,19970620,   76,     ,     ,     
  315,19970621,   89,     ,     ,     
  315,19970622,   90,     ,     ,     
  315,19970623,   71,     ,     ,     
  315,19970624,   43,     ,     ,     
  315,19970625,   67,     ,     ,     
  315,19970626,   39,     ,     ,     
  315,19970627,   34,     ,     ,     
  315,19970628,   51,     ,     ,     
  315,19970629,   40,     ,     ,     
  315,19970630,   49,     ,     ,     
  315,19970701,   53,     ,     ,     
  315,19970702,   48,     ,     ,     
  315,19970703,   57,     ,     ,     
  315,19970704,   30,     ,     ,     
  315,19970705,   45,     ,     ,     
  315,19970706,   39,     ,     ,     
  315,19970707,   34,     ,     ,     
  315,19970708,   24,     ,     ,     
  315,19970709,   33,     ,     ,     
  315,19970710,   35,     ,     ,     
  315,19970711,   25,     ,     ,     
  315,19970712,   25,     ,     ,     
  315,19970713,   19,     ,     ,     
  315,19970714,   37,     ,     ,     
  315,19970715,   41,     ,     ,     
  315,19970716,   54,     ,     ,     
  315,19970717,   33,     ,     ,     
  315,19970718,   60,     ,     ,     
  315,19970719,   47,     ,     ,     
  315,19970720,   40,     ,     ,     
  315,19970721,   51,     ,     ,     
  315,19970722,   37,     ,     ,     
  315,19970723,   21,     ,     ,     
  315,19970724,   33,     ,     ,     
  315,19970725,   77,     ,     ,     
  315,19970726,   51,     ,     ,     
  315,19970727,   64,     ,     ,     
  315,19970728,   39,     ,     ,     
  315,19970729,   18,     ,     ,     
  315,19970730,   48,     ,     ,     
  315,19970731,   69,     ,     ,     
  315,19970801,   46,     ,     ,     
  315,19970802,   38,     ,     ,     
  315,19970803,   25,     ,     ,     
  315,19970804,   42,     ,     ,     
  315,19970805,   47,     ,     ,     
  315,19970806,   56,     ,     ,     
  315,19970807,   47,     ,     ,     
  315,19970808,   30,     ,     ,     
  315,19970809,   16,     ,     ,     
  315,19970810,   36,     ,     ,     
  315,19970811,   48,     ,     ,     
  315,19970812,   25,     ,     ,     
  315,19970813,   39,     ,     ,     
  315,19970814,   45,     ,     ,     
  315,19970815,   25,     ,     ,     
  315,19970816,   20,     ,     ,     
  315,19970817,   23,     ,     ,     
  315,19970818,   20,     ,     ,     
  315,19970819,   30,     ,     ,     
  315,19970820,   25,     ,     ,     
  315,19970821,   19,     ,     ,     
  315,19970822,   44,     ,     ,     
  315,19970823,   29,     ,     ,     
  315,19970824,   25,     ,     ,     
  315,19970825,   37,     ,     ,     
  315,19970826,   32,     ,     ,     
  315,19970827,   50,     ,     ,     
  315,19970828,   72,     ,     ,     
  315,19970829,  104,     ,     ,     
  315,19970830,   72,     ,     ,     
  315,19970831,   48,     ,     ,     
  315,19970901,   42,     ,     ,     
  315,19970902,   21,     ,     ,     
  315,19970903,   33,     ,     ,     
  315,19970904,   45,     ,     ,     
  315,19970905,   37,     ,     ,     
  315,19970906,   64,     ,     ,     
  315,19970907,   64,     ,     ,     
  315,19970908,   68,     ,     ,     
  315,19970909,   56,     ,     ,     
  315,19970910,   34,     ,     ,     
  315,19970911,   50,     ,     ,     
  315,19970912,   95,     ,     ,     
  315,19970913,   90,     ,     ,     
  315,19970914,   60,     ,     ,     
  315,19970915,   56,     ,     ,     
  315,19970916,   45,     ,     ,     
  315,19970917,   35,     ,     ,     
  315,19970918,   26,     ,     ,     
  315,19970919,   41,     ,     ,     
  315,19970920,   43,     ,     ,     
  315,19970921,   39,     ,     ,     
  315,19970922,   35,     ,     ,     
  315,19970923,   39,     ,     ,     
  315,19970924,   28,     ,     ,     
  315,19970925,   35,     ,     ,     
  315,19970926,   34,     ,     ,     
  315,19970927,   28,     ,     ,     
  315,19970928,   24,     ,     ,     
  315,19970929,   10,     ,     ,     
