# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 316         3.694       51.657      0.00        Schaar      
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  316,19830101,  118,     ,     ,     
  316,19830102,   67,     ,     ,     
  316,19830103,  139,     ,     ,     
  316,19830104,  134,     ,     ,     
  316,19830105,  134,     ,     ,     
  316,19830106,  129,     ,     ,     
  316,19830107,  123,     ,     ,     
  316,19830108,   87,     ,     ,     
  316,19830109,  113,     ,     ,     
  316,19830110,   93,     ,     ,     
  316,19830111,   77,     ,     ,     
  316,19830112,  103,     ,     ,     
  316,19830113,  129,     ,     ,     
  316,19830114,  134,     ,     ,     
  316,19830115,  123,     ,     ,     
  316,19830116,  108,     ,     ,     
  316,19830117,  134,     ,     ,     
  316,19830118,  159,     ,     ,     
  316,19830119,  149,     ,     ,     
  316,19830120,  103,     ,     ,     
  316,19830121,  108,     ,     ,     
  316,19830122,   46,     ,     ,     
  316,19830123,   41,     ,     ,     
  316,19830124,   82,     ,     ,     
  316,19830125,   82,     ,     ,     
  316,19830126,   93,     ,     ,     
  316,19830127,  139,     ,     ,     
  316,19830128,  139,     ,     ,     
  316,19830129,  108,     ,     ,     
  316,19830130,  139,     ,     ,     
  316,19830131,  134,     ,     ,     
  316,19830201,  185,     ,     ,     
  316,19830202,  108,     ,     ,     
  316,19830203,   98,     ,     ,     
  316,19830204,   67,     ,     ,     
  316,19830205,  134,     ,     ,     
  316,19830206,   67,     ,     ,     
  316,19830207,   67,     ,     ,     
  316,19830208,   82,     ,     ,     
  316,19830209,   51,     ,     ,     
  316,19830210,   36,     ,     ,     
  316,19830211,   57,     ,     ,     
  316,19830212,   67,     ,     ,     
  316,19830213,   72,     ,     ,     
  316,19830214,   87,     ,     ,     
  316,19830215,   98,     ,     ,     
  316,19830216,   87,     ,     ,     
  316,19830217,   87,     ,     ,     
  316,19830218,   67,     ,     ,     
  316,19830219,   46,     ,     ,     
  316,19830220,   21,     ,     ,     
  316,19830221,   62,     ,     ,     
  316,19830222,   98,     ,     ,     
  316,19830223,   82,     ,     ,     
  316,19830224,   51,     ,     ,     
  316,19830225,   46,     ,     ,     
  316,19830226,   62,     ,     ,     
  316,19830227,   98,     ,     ,     
  316,19830228,   82,     ,     ,     
  316,19830301,   57,     ,     ,     
  316,19830302,   31,     ,     ,     
  316,19830303,   46,     ,     ,     
  316,19830304,   41,     ,     ,     
  316,19830305,   77,     ,     ,     
  316,19830306,   82,     ,     ,     
  316,19830307,   57,     ,     ,     
  316,19830308,   41,     ,     ,     
  316,19830309,   46,     ,     ,     
  316,19830310,   77,     ,     ,     
  316,19830311,   67,     ,     ,     
  316,19830312,   57,     ,     ,     
  316,19830313,   51,     ,     ,     
  316,19830314,   77,     ,     ,     
  316,19830315,   31,     ,     ,     
  316,19830316,   51,     ,     ,     
  316,19830317,   87,     ,     ,     
  316,19830318,   93,     ,     ,     
  316,19830319,   98,     ,     ,     
  316,19830320,   67,     ,     ,     
  316,19830321,  113,     ,     ,     
  316,19830322,  154,     ,     ,     
  316,19830323,  118,     ,     ,     
  316,19830324,  113,     ,     ,     
  316,19830325,  134,     ,     ,     
  316,19830326,  118,     ,     ,     
  316,19830327,   72,     ,     ,     
  316,19830328,   77,     ,     ,     
  316,19830329,   82,     ,     ,     
  316,19830330,   98,     ,     ,     
  316,19830331,   62,     ,     ,     
  316,19830401,   67,     ,     ,     
  316,19830402,   98,     ,     ,     
  316,19830403,   36,     ,     ,     
  316,19830404,   77,     ,     ,     
  316,19830405,   77,     ,     ,     
  316,19830406,   98,     ,     ,     
  316,19830407,   77,     ,     ,     
  316,19830408,   77,     ,     ,     
  316,19830409,   36,     ,     ,     
  316,19830410,   62,     ,     ,     
  316,19830411,   77,     ,     ,     
  316,19830412,  139,     ,     ,     
  316,19830413,   72,     ,     ,     
  316,19830414,   62,     ,     ,     
  316,19830415,   46,     ,     ,     
  316,19830416,   57,     ,     ,     
  316,19830417,   57,     ,     ,     
  316,19830418,   41,     ,     ,     
  316,19830419,   93,     ,     ,     
  316,19830420,   57,     ,     ,     
  316,19830421,   46,     ,     ,     
  316,19830422,   51,     ,     ,     
  316,19830423,   41,     ,     ,     
  316,19830424,   46,     ,     ,     
  316,19830425,   51,     ,     ,     
  316,19830426,   41,     ,     ,     
  316,19830427,   51,     ,     ,     
  316,19830428,   46,     ,     ,     
  316,19830429,   57,     ,     ,     
  316,19830430,   46,     ,     ,     
  316,19830501,   67,     ,     ,     
  316,19830502,  108,     ,     ,     
  316,19830503,  108,     ,     ,     
  316,19830504,   41,     ,     ,     
  316,19830505,   62,     ,     ,     
  316,19830506,   46,     ,     ,     
  316,19830507,   31,     ,     ,     
  316,19830508,   77,     ,     ,     
  316,19830509,   98,     ,     ,     
  316,19830510,   87,     ,     ,     
  316,19830511,   77,     ,     ,     
  316,19830512,  103,     ,     ,     
  316,19830513,   77,     ,     ,     
  316,19830514,   46,     ,     ,     
  316,19830515,   51,     ,     ,     
  316,19830516,   51,     ,     ,     
  316,19830517,   36,     ,     ,     
  316,19830518,   62,     ,     ,     
  316,19830519,   72,     ,     ,     
  316,19830520,   36,     ,     ,     
  316,19830521,   57,     ,     ,     
  316,19830522,   46,     ,     ,     
  316,19830523,   46,     ,     ,     
  316,19830524,   93,     ,     ,     
  316,19830525,  123,     ,     ,     
  316,19830526,  123,     ,     ,     
  316,19830527,   77,     ,     ,     
  316,19830528,   62,     ,     ,     
  316,19830529,   41,     ,     ,     
  316,19830530,   26,     ,     ,     
  316,19830531,   46,     ,     ,     
  316,19830601,   57,     ,     ,     
  316,19830602,   72,     ,     ,     
  316,19830603,   31,     ,     ,     
  316,19830604,   46,     ,     ,     
  316,19830605,   62,     ,     ,     
  316,19830606,   93,     ,     ,     
  316,19830607,   62,     ,     ,     
  316,19830608,   51,     ,     ,     
  316,19830609,   82,     ,     ,     
  316,19830610,   41,     ,     ,     
  316,19830611,   77,     ,     ,     
  316,19830612,   62,     ,     ,     
  316,19830613,   57,     ,     ,     
  316,19830614,   82,     ,     ,     
  316,19830615,   77,     ,     ,     
  316,19830616,   51,     ,     ,     
  316,19830617,   57,     ,     ,     
  316,19830618,   82,     ,     ,     
  316,19830619,   87,     ,     ,     
  316,19830620,   62,     ,     ,     
  316,19830621,   67,     ,     ,     
  316,19830622,   31,     ,     ,     
  316,19830623,   31,     ,     ,     
  316,19830624,   41,     ,     ,     
  316,19830625,   57,     ,     ,     
  316,19830626,   36,     ,     ,     
  316,19830627,   67,     ,     ,     
  316,19830628,   77,     ,     ,     
  316,19830629,  103,     ,     ,     
  316,19830630,   51,     ,     ,     
  316,19830701,   46,     ,     ,     
  316,19830702,   57,     ,     ,     
  316,19830703,   21,     ,     ,     
  316,19830704,   36,     ,     ,     
  316,19830705,   51,     ,     ,     
  316,19830706,   36,     ,     ,     
  316,19830707,   31,     ,     ,     
  316,19830708,   41,     ,     ,     
  316,19830709,   57,     ,     ,     
  316,19830710,   51,     ,     ,     
  316,19830711,   62,     ,     ,     
  316,19830712,   72,     ,     ,     
  316,19830713,   51,     ,     ,     
  316,19830714,   31,     ,     ,     
  316,19830715,   72,     ,     ,     
  316,19830716,   41,     ,     ,     
  316,19830717,   62,     ,     ,     
  316,19830718,   62,     ,     ,     
  316,19830719,   41,     ,     ,     
