# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 323         3.884       51.527      1.40        Wilhelminadorp
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  323,19891102,     ,     ,     ,     
  323,19891103,     ,     ,     ,     
  323,19891104,     ,     ,     ,     
  323,19891105,   36,  103,     ,   89
  323,19891106,     ,     ,     ,     
  323,19891107,     ,     ,     ,     
  323,19891108,   93,  121,     ,   86
  323,19891109,   72,  107,     ,   82
  323,19891110,   87,  117,     ,   89
  323,19891111,   51,  124,     ,   83
  323,19891112,     ,     ,     ,     
  323,19891113,     ,     ,     ,     
  323,19891114,     ,     ,     ,     
  323,19891115,     ,     ,     ,     
  323,19891116,     ,     ,     ,     
  323,19891117,     ,     ,     ,     
  323,19891118,   46,     ,     ,   75
  323,19891119,     ,     ,     ,     
  323,19891120,     ,     ,     ,     
  323,19891121,     ,     ,     ,     
  323,19891122,     ,     ,     ,     
  323,19891123,   36,   84,     ,   86
  323,19891124,   46,     ,     ,   87
  323,19891125,     ,     ,     ,     
  323,19891126,     ,     ,     ,     
  323,19891127,     ,     ,     ,     
  323,19891128,   31,   95,     ,   82
  323,19891129,   36,   37,     ,   89
  323,19891130,   36,   17,     ,   90
  323,19891201,     ,     ,     ,     
  323,19891202,     ,     ,     ,     
  323,19891203,     ,     ,     ,     
  323,19891204,     ,     ,     ,     
  323,19891205,     ,     ,     ,     
  323,19891206,   26,   87,     ,   98
  323,19891207,   21,   92,     ,   90
  323,19891208,   21,     ,     ,   89
  323,19891209,     ,     ,     ,     
  323,19891210,     ,     ,     ,     
  323,19891211,     ,     ,     ,     
  323,19891212,   57,   73,     ,   98
  323,19891213,     ,     ,     ,     
  323,19891214,     ,     ,     ,     
  323,19891215,   62,  110,     ,   90
  323,19891216,   62,  151,     ,   89
  323,19891217,  113,  130,     ,   79
  323,19891218,     ,     ,     ,     
  323,19891219,     ,     ,     ,     
  323,19891220,   87,     ,     ,   94
  323,19891221,   87,  145,     ,   80
  323,19891222,   57,  112,     ,   89
  323,19891223,   72,   92,     ,   86
  323,19891224,   82,     ,     ,   78
  323,19891225,   62,     ,     ,   76
  323,19891226,   26,   88,     ,   90
  323,19891227,   15,   52,     ,   96
  323,19891228,   31,   34,     ,   94
  323,19891229,   36,     ,     ,   93
  323,19891230,     ,     ,     ,     
  323,19891231,     ,     ,     ,     
  323,19900101,     ,     ,     ,     
  323,19900102,     ,     ,     ,     
  323,19900103,     ,     ,     ,     
  323,19900104,   41,     ,     ,   98
  323,19900105,   46,   52,     ,   97
  323,19900106,   57,     ,     ,   99
  323,19900107,     ,     ,     ,     
  323,19900108,   41,   68,     ,  100
  323,19900109,   41,   84,     ,     
  323,19900110,     ,     ,     ,     
  323,19900111,   62,   77,     ,   90
  323,19900112,     ,     ,     ,     
  323,19900113,     ,     ,     ,     
  323,19900114,     ,     ,     ,     
