# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 324         4.006       51.596      0.00        Stavenisse  
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  324,19971001,   71,     ,     ,     
  324,19971002,   70,     ,     ,     
  324,19971003,   32,     ,     ,     
  324,19971004,   52,     ,     ,     
  324,19971005,   39,     ,     ,     
  324,19971006,   35,     ,     ,     
  324,19971007,   76,     ,     ,     
  324,19971008,   94,     ,     ,     
  324,19971009,  105,     ,     ,     
  324,19971010,     ,     ,     ,     
  324,19971011,   73,     ,     ,     
  324,19971012,   58,     ,     ,     
  324,19971013,   82,     ,     ,     
  324,19971014,   63,     ,     ,     
  324,19971015,   45,     ,     ,     
  324,19971016,   34,     ,     ,     
  324,19971017,   45,     ,     ,     
  324,19971018,   34,     ,     ,     
  324,19971019,   18,     ,     ,     
  324,19971020,     ,     ,     ,     
  324,19971021,   68,     ,     ,     
  324,19971022,   34,     ,     ,     
  324,19971023,   27,     ,     ,     
  324,19971024,   24,     ,     ,     
  324,19971025,   54,     ,     ,     
  324,19971026,   17,     ,     ,     
  324,19971027,   60,     ,     ,     
  324,19971028,   58,     ,     ,     
  324,19971029,   33,     ,     ,     
  324,19971030,   31,     ,     ,     
  324,19971031,     ,     ,     ,     
  324,19971101,   31,     ,     ,     
  324,19971102,   13,     ,     ,     
  324,19971103,   53,     ,     ,     
  324,19971104,   68,     ,     ,     
  324,19971105,   63,     ,     ,     
  324,19971106,   42,     ,     ,     
  324,19971107,   73,     ,     ,     
  324,19971108,   86,     ,     ,     
  324,19971109,   85,     ,     ,     
  324,19971110,     ,     ,     ,     
  324,19971111,   64,     ,     ,     
