# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 331         4.193       51.480      0.00        Tholen      
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  331,19810101,     ,     ,     ,     
  331,19810102,     ,     ,     ,     
  331,19810103,     ,     ,     ,     
  331,19810104,     ,     ,     ,     
  331,19810105,     ,     ,     ,     
  331,19810106,     ,     ,     ,     
  331,19810107,     ,     ,     ,     
  331,19810108,     ,     ,     ,     
  331,19810109,     ,     ,     ,     
  331,19810110,     ,     ,     ,     
  331,19810111,     ,     ,     ,     
  331,19810112,     ,     ,     ,     
  331,19810113,     ,     ,     ,     
  331,19810114,     ,     ,     ,     
  331,19810115,     ,     ,     ,     
  331,19810116,     ,     ,     ,     
  331,19810117,     ,     ,     ,     
  331,19810118,     ,     ,     ,     
  331,19810119,     ,     ,     ,     
  331,19810120,     ,     ,     ,     
  331,19810121,     ,     ,     ,     
  331,19810122,     ,     ,     ,     
  331,19810123,     ,     ,     ,     
  331,19810124,     ,     ,     ,     
  331,19810125,     ,     ,     ,     
  331,19810126,     ,     ,     ,     
  331,19810127,     ,     ,     ,     
  331,19810128,     ,     ,     ,     
  331,19810129,     ,     ,     ,     
  331,19810130,     ,     ,     ,     
  331,19810131,     ,     ,     ,     
  331,19810201,     ,     ,     ,     
  331,19810202,     ,     ,     ,     
  331,19810203,     ,     ,     ,     
  331,19810204,     ,     ,     ,     
  331,19810205,     ,     ,     ,     
  331,19810206,     ,     ,     ,     
  331,19810207,     ,     ,     ,     
  331,19810208,     ,     ,     ,     
  331,19810209,     ,     ,     ,     
  331,19810210,     ,     ,     ,     
  331,19810211,     ,     ,     ,     
  331,19810212,     ,     ,     ,     
  331,19810213,     ,     ,     ,     
  331,19810214,     ,     ,     ,     
  331,19810215,     ,     ,     ,     
  331,19810216,     ,     ,     ,     
  331,19810217,     ,     ,     ,     
  331,19810218,     ,     ,     ,     
  331,19810219,     ,     ,     ,     
  331,19810220,     ,     ,     ,     
  331,19810221,     ,     ,     ,     
  331,19810222,     ,     ,     ,     
  331,19810223,     ,     ,     ,     
  331,19810224,     ,     ,     ,     
  331,19810225,     ,     ,     ,     
  331,19810226,     ,     ,     ,     
