# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 340         4.342       51.449      19.20       Woensdrecht 
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  340,19930401,     ,     ,     ,     
  340,19930402,     ,     ,     ,     
  340,19930403,     ,     ,     ,     
  340,19930404,     ,     ,     ,     
  340,19930405,     ,     ,     ,     
  340,19930406,     ,     ,     ,     
  340,19930407,     ,     ,     ,     
  340,19930408,     ,     ,     ,     
  340,19930409,     ,     ,     ,     
  340,19930410,     ,     ,     ,     
  340,19930411,     ,     ,     ,     
  340,19930412,     ,     ,     ,     
  340,19930413,     ,     ,     ,     
  340,19930414,     ,     ,     ,     
  340,19930415,     ,     ,     ,     
  340,19930416,     ,     ,     ,     
  340,19930417,     ,     ,     ,     
  340,19930418,     ,     ,     ,     
  340,19930419,     ,     ,     ,     
  340,19930420,     ,     ,     ,     
  340,19930421,     ,     ,     ,     
  340,19930422,     ,     ,     ,     
  340,19930423,     ,     ,     ,     
  340,19930424,     ,     ,     ,     
  340,19930425,     ,     ,     ,     
  340,19930426,     ,     ,     ,     
  340,19930427,     ,     ,     ,     
  340,19930428,     ,     ,     ,     
  340,19930429,     ,     ,     ,     
  340,19930430,     ,     ,     ,     
  340,19930501,     ,     ,     ,     
  340,19930502,     ,     ,     ,     
  340,19930503,     ,     ,     ,     
  340,19930504,     ,     ,     ,     
  340,19930505,     ,     ,     ,     
  340,19930506,     ,     ,     ,     
  340,19930507,     ,     ,     ,     
  340,19930508,     ,     ,     ,     
  340,19930509,     ,     ,     ,     
  340,19930510,     ,     ,     ,     
  340,19930511,     ,     ,     ,     
  340,19930512,     ,     ,     ,     
  340,19930513,     ,     ,     ,     
  340,19930514,     ,     ,     ,     
  340,19930515,     ,     ,     ,     
  340,19930516,     ,     ,     ,     
  340,19930517,     ,     ,     ,     
  340,19930518,     ,     ,     ,     
  340,19930519,     ,     ,     ,     
  340,19930520,     ,     ,     ,     
  340,19930521,     ,     ,     ,     
  340,19930522,     ,     ,     ,     
  340,19930523,     ,     ,     ,     
  340,19930524,     ,     ,     ,     
  340,19930525,     ,     ,     ,     
  340,19930526,     ,     ,     ,     
  340,19930527,     ,     ,     ,     
  340,19930528,     ,     ,     ,     
  340,19930529,     ,     ,     ,     
  340,19930530,     ,     ,     ,     
  340,19930531,     ,     ,     ,     
  340,19930601,     ,     ,     ,     
  340,19930602,     ,     ,     ,     
  340,19930603,     ,     ,     ,     
  340,19930604,     ,     ,     ,     
  340,19930605,     ,     ,     ,     
  340,19930606,     ,     ,     ,     
  340,19930607,     ,     ,     ,     
  340,19930608,     ,     ,     ,     
  340,19930609,     ,     ,     ,     
  340,19930610,     ,     ,     ,     
  340,19930611,     ,     ,     ,     
  340,19930612,     ,     ,     ,     
  340,19930613,     ,     ,     ,     
  340,19930614,     ,     ,     ,     
  340,19930615,     ,     ,     ,     
  340,19930616,     ,     ,     ,     
  340,19930617,     ,     ,     ,     
  340,19930618,     ,     ,     ,     
  340,19930619,     ,     ,     ,     
  340,19930620,     ,     ,     ,     
  340,19930621,     ,     ,     ,     
  340,19930622,     ,     ,     ,     
  340,19930623,     ,     ,     ,     
  340,19930624,     ,     ,     ,     
  340,19930625,     ,     ,     ,     
  340,19930626,     ,     ,     ,     
  340,19930627,     ,     ,     ,     
  340,19930628,     ,     ,     ,     
  340,19930629,     ,     ,     ,     
  340,19930630,     ,     ,     ,     
  340,19930701,     ,     ,     ,     
  340,19930702,     ,     ,     ,     
  340,19930703,     ,     ,     ,     
  340,19930704,     ,     ,     ,     
  340,19930705,     ,     ,     ,     
  340,19930706,     ,     ,     ,     
  340,19930707,     ,     ,     ,     
  340,19930708,     ,     ,     ,     
  340,19930709,     ,     ,     ,     
  340,19930710,     ,     ,     ,     
  340,19930711,     ,     ,     ,     
  340,19930712,     ,     ,     ,     
  340,19930713,     ,     ,     ,     
  340,19930714,     ,     ,     ,     
  340,19930715,     ,     ,     ,     
  340,19930716,     ,     ,     ,     
  340,19930717,     ,     ,     ,     
  340,19930718,     ,     ,     ,     
  340,19930719,     ,     ,     ,     
  340,19930720,     ,     ,     ,     
  340,19930721,     ,     ,     ,     
  340,19930722,     ,     ,     ,     
  340,19930723,     ,     ,     ,     
  340,19930724,     ,     ,     ,     
  340,19930725,     ,     ,     ,     
  340,19930726,     ,     ,     ,     
  340,19930727,     ,     ,     ,     
  340,19930728,     ,     ,     ,     
  340,19930729,     ,     ,     ,     
  340,19930730,     ,     ,     ,     
  340,19930731,     ,     ,     ,     
  340,19930801,     ,     ,     ,     
  340,19930802,     ,     ,     ,     
  340,19930803,     ,     ,     ,     
  340,19930804,     ,     ,     ,     
  340,19930805,     ,     ,     ,     
  340,19930806,     ,     ,     ,     
  340,19930807,     ,     ,     ,     
  340,19930808,     ,     ,     ,     
  340,19930809,     ,     ,     ,     
