# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 343         4.313       51.893      3.50        Rotterdam Geulhaven
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TX,   RH,   UG
  343,19911101,   72,  148,     ,     
  343,19911102,   93,  137,     ,     
  343,19911103,  103,  124,     ,     
  343,19911104,   87,  108,     ,     
  343,19911105,   51,  106,     ,     
  343,19911106,   77,   87,     ,     
  343,19911107,  103,  131,     ,     
  343,19911108,   87,  126,     ,     
  343,19911109,   62,   93,     ,     
  343,19911110,   67,   84,     ,     
  343,19911111,   82,   94,     ,     
  343,19911112,   67,  108,     ,     
  343,19911113,   87,  103,     ,     
  343,19911114,   77,   76,     ,     
  343,19911115,   46,   90,     ,     
  343,19911116,   21,   72,     ,     
  343,19911117,   41,   49,     ,     
  343,19911118,   51,   97,     ,     
  343,19911119,   87,   89,     ,     
  343,19911120,   77,   48,     ,     
  343,19911121,   36,   15,     ,     
  343,19911122,   51,   58,     ,     
  343,19911123,   46,   56,     ,     
  343,19911124,   41,   64,     ,     
  343,19911125,   46,   35,     ,     
  343,19911126,   31,   77,     ,     
  343,19911127,   26,  102,     ,     
  343,19911128,   36,   75,     ,     
  343,19911129,   41,   95,     ,     
  343,19911130,   46,   57,     ,     
  343,19911201,   15,   62,     ,     
  343,19911202,   41,   61,     ,     
  343,19911203,   31,   19,     ,     
  343,19911204,   15,   82,     ,     
  343,19911205,   46,   84,     ,     
  343,19911206,   31,   55,     ,     
  343,19911207,   15,   72,     ,     
  343,19911208,   15,   66,     ,     
  343,19911209,   46,   60,     ,     
  343,19911210,   82,   10,     ,     
  343,19911211,   62,   14,     ,     
  343,19911212,   46,   32,     ,     
  343,19911213,   51,   41,     ,     
  343,19911214,   51,   61,     ,     
  343,19911215,   41,   18,     ,     
  343,19911216,   41,   46,     ,     
  343,19911217,   62,   93,     ,     
  343,19911218,  103,   96,     ,     
  343,19911219,  123,  104,     ,     
  343,19911220,  118,   70,     ,     
  343,19911221,   82,  108,     ,     
  343,19911222,  108,  118,     ,     
  343,19911223,  134,  119,     ,     
  343,19911224,   82,   75,     ,     
  343,19911225,   51,   67,     ,     
  343,19911226,   93,   91,     ,     
  343,19911227,   57,   82,     ,     
  343,19911228,   41,   77,     ,     
  343,19911229,   36,   65,     ,     
  343,19911230,   21,   71,     ,     
  343,19911231,   51,   61,     ,     
  343,19920101,   98,   87,     ,     
  343,19920102,   98,   84,     ,     
  343,19920103,  108,   81,     ,     
  343,19920104,   72,   88,     ,     
  343,19920105,   87,  101,     ,     
  343,19920106,   87,  101,     ,     
  343,19920107,   77,   50,     ,     
  343,19920108,   82,  101,     ,     
  343,19920109,   62,  111,     ,     
  343,19920110,   62,   54,     ,     
  343,19920111,   26,    2,     ,     
  343,19920112,   31,   60,     ,     
  343,19920113,   26,   64,     ,     
  343,19920114,   41,   78,     ,     
  343,19920115,   36,   76,     ,     
  343,19920116,   51,   72,     ,     
  343,19920117,   36,   77,     ,     
  343,19920118,   41,   71,     ,     
  343,19920119,   77,   77,     ,     
  343,19920120,   87,   59,     ,     
