# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TG,   RH,   UG
  260,19010101,     ,  -49,     ,   66
  260,19010102,     ,  -18,     ,   86
  260,19010103,     ,  -26,     ,   89
  260,19010104,     ,  -65,     ,   79
  260,19010105,     ,  -60,     ,   65
  260,19010106,     , -100,     ,   63
  260,19010107,     ,  -92,     ,   71
  260,19010108,     ,  -49,     ,   79
  260,19010109,     ,   11,     ,   76
  260,19010110,     ,   15,     ,   82
  260,19010111,     ,  -19,     ,   73
  260,19010112,     ,  -64,     ,   90
  260,19010113,     ,  -44,     ,   93
  260,19010114,     ,  -24,     ,   85
  260,19010115,     ,    7,     ,   46
  260,19010116,     ,   -4,     ,   55
  260,19010117,     ,   18,     ,   74
  260,19010118,     ,   -2,     ,   87
  260,19010119,     ,   34,     ,   92
  260,19010120,     ,   57,     ,   83
  260,19010121,     ,   72,     ,   82
  260,19010122,     ,   73,     ,   85
  260,19010123,     ,   20,     ,   97
  260,19010124,     ,   16,     ,   95
  260,19010125,     ,   58,     ,   70
  260,19010126,     ,   41,     ,   73
  260,19010127,     ,   74,     ,   81
  260,19010128,     ,   29,     ,   75
  260,19010129,     ,   -3,     ,   90
  260,19010130,     ,    7,     ,   91
  260,19010131,     ,    7,     ,   93
  260,19010201,     ,    1,     ,   93
  260,19010202,     ,   -9,     ,   93
  260,19010203,     ,  -12,     ,   92
  260,19010204,     ,  -44,     ,   97
  260,19010205,     ,  -16,     ,   91
  260,19010206,     ,  -18,     ,   82
  260,19010207,     ,  -24,     ,   86
  260,19010208,     ,   16,     ,   89
  260,19010209,     ,   20,     ,   95
  260,19010210,     ,   21,     ,   86
  260,19010211,     ,    1,     ,   79
  260,19010212,     ,  -17,     ,   93
  260,19010213,     ,  -56,     ,   75
  260,19010214,     ,  -77,     ,   87
  260,19010215,     ,  -62,     ,   88
  260,19010216,     ,   18,     ,   97
  260,19010217,     ,   -8,     ,   91
  260,19010218,     ,  -22,     ,   90
  260,19010219,     ,  -19,     ,   84
  260,19010220,     ,  -67,     ,   67
  260,19010221,     ,  -52,     ,   76
  260,19010222,     ,  -15,     ,   86
  260,19010223,     ,   16,     ,   96
  260,19010224,     ,   21,     ,   98
  260,19010225,     ,   36,     ,   98
  260,19010226,     ,   29,     ,   85
  260,19010227,     ,   44,     ,   94
  260,19010228,     ,   54,     ,   92
  260,19010301,     ,   51,     ,   96
  260,19010302,     ,   63,     ,   86
  260,19010303,     ,   64,     ,   82
  260,19010304,     ,   53,     ,   84
  260,19010305,     ,   69,     ,   94
  260,19010306,     ,   48,     ,   86
  260,19010307,     ,   41,     ,   91
  260,19010308,     ,   44,     ,   90
  260,19010309,     ,   27,     ,   88
  260,19010310,     ,   20,     ,   85
  260,19010311,     ,   23,     ,   87
  260,19010312,     ,   46,     ,   88
  260,19010313,     ,   48,     ,   81
  260,19010314,     ,   39,     ,   88
